epoch,lr,train_loss
0.0,0.0005,2.9638958156108854
1.0,0.0005,2.9523635804653168
2.0,0.0005,2.95050687789917
3.0,0.0005,2.9152119517326356
4.0,0.0005,2.791057687997818
5.0,0.0005,2.7114744782447815
6.0,0.0005,2.6368437349796294
7.0,0.0005,2.5727403819561006
8.0,0.0005,2.482477617263794
9.0,0.0005,2.348624476790428
10.0,0.0005,2.168511578440666
11.0,0.0005,2.083025500178337
12.0,0.0005,1.9527147829532623
13.0,0.0005,1.8176605075597763
14.0,0.0005,1.8042082279920577
15.0,0.0005,1.7101742058992386
16.0,0.0005,1.677962091565132
17.0,0.0005,1.6009568393230438
18.0,0.0005,1.5594206005334854
19.0,0.0005,1.5363779187202453
20.0,0.0005,1.477068653702736
21.0,0.0005,1.454035010933876
22.0,0.0005,1.4402268558740616
23.0,0.0005,1.4271524935960769
24.0,0.0005,1.362469530105591
25.0,0.0005,1.3101396709680557
26.0,0.0005,1.3132962554693222
27.0,0.0005,1.305580586194992
28.0,0.0005,1.240043705701828
29.0,0.0005,1.1898532196879388
30.0,0.0005,1.1596261024475099
31.0,0.0005,1.142996335029602
32.0,0.0005,1.123441906273365
33.0,0.0005,1.0723118618130685
34.0,0.0005,1.0212033718824387
35.0,0.0005,0.9823966383934021
36.0,0.0005,0.9699092701077461
37.0,0.0005,0.9523936033248901
38.0,0.0005,0.980180262029171
39.0,0.0005,0.9502915039658546
40.0,0.0005,0.9186875402927399
41.0,0.0005,0.8875083953142167
42.0,0.0005,0.8848910376429557
43.0,0.0005,0.8698454454541207
44.0,0.0005,0.7924008160829544
45.0,0.0005,0.7476723417639732
46.0,0.0005,0.6797683373093605
47.0,0.0005,0.676885774731636
48.0,0.0005,0.6494011431932449
49.0,0.0005,0.6188254527747631
