epoch,lr,train_loss
0.0,0.0005,2.368929766473316
1.0,0.0005,1.7137871469770158
2.0,0.0005,1.1697414432253157
3.0,0.0005,0.8926068601154146
4.0,0.0005,0.7264845740227472
5.0,0.0005,0.6289002398649851
6.0,0.0005,0.5356497523330507
7.0,0.0005,0.47423710993358065
8.0,0.0005,0.43382585758254644
9.0,0.0005,0.3953792381854284
10.0,0.0005,0.3630148952915555
11.0,0.0005,0.35191078129268827
12.0,0.0005,0.3380411678836459
13.0,0.0005,0.3393746245475042
14.0,0.0005,0.2993917465209961
15.0,0.0005,0.28457029660542804
16.0,0.0005,0.2676623130128497
17.0,0.0005,0.25223986946401145
18.0,0.0005,0.2414685289065043
19.0,0.0005,0.23236434374536788
20.0,0.0005,0.22648543758051737
21.0,0.0005,0.21595072959150588
22.0,0.0005,0.2063406202055159
23.0,0.0005,0.20001394691921415
24.0,0.0005,0.1925534229902994
25.0,0.0005,0.19145887238638742
26.0,0.0005,0.18641291629700435
27.0,0.0005,0.201186023297764
28.0,0.0005,0.19502560226690202
29.0,0.0005,0.1779427762542452
30.0,0.0005,0.17303186796960376
31.0,0.0005,0.17220625423249744
32.0,0.0005,0.16505267648469835
33.0,0.0005,0.15633876692681087
34.0,0.0005,0.1498994855653672
35.0,0.0005,0.14444042103631155
36.0,0.0005,0.14144703639405115
37.0,0.0005,0.13749986567667552
38.0,0.0005,0.13808077006112962
39.0,0.0005,0.14546812964337213
40.0,0.0005,0.16572929422060648
41.0,0.0005,0.169197807709376
42.0,0.0005,0.1590424446122987
43.0,0.0005,0.14161176802147002
44.0,0.0005,0.13226475992373057
45.0,0.0005,0.12190543718281246
46.0,0.0005,0.11898467476878848
47.0,0.0005,0.11592307473931994
48.0,0.0005,0.11645487199227016
49.0,0.0005,0.1131098632301603
