epoch,lr,train_loss
0.0,0.0005,9.717948913574219
1.0,0.0005,8.842588015965053
2.0,0.0005,7.895548298245385
3.0,0.0005,6.840392362503779
4.0,0.0005,5.718111106327602
5.0,0.0005,4.501882927758353
6.0,0.0005,3.4774311042967296
7.0,0.0005,2.808507964724586
8.0,0.0005,2.3761466514496576
9.0,0.0005,2.140896723383949
10.0,0.0005,1.721667346500215
11.0,0.0005,1.538978202002389
12.0,0.0005,1.3763601779937744
13.0,0.0005,1.2962980327152072
14.0,0.0005,1.2260875219390506
15.0,0.0005,1.248171743892488
16.0,0.0005,1.1554582715034485
17.0,0.0005,1.061950235139756
18.0,0.0005,1.0393605260621934
19.0,0.0005,0.9688838947386968
20.0,0.0005,0.8864325909387498
21.0,0.0005,0.8467397746585664
22.0,0.0005,0.8603418469429016
23.0,0.0005,0.8412717921393258
24.0,0.0005,0.8046829785619464
25.0,0.0005,0.7845603880428133
26.0,0.0005,0.7751585869562059
27.0,0.0005,0.7187856265476772
28.0,0.0005,0.7274029226530165
29.0,0.0005,0.7261279736246381
30.0,0.0005,1.3261908150854564
31.0,0.0005,1.7083871705191476
32.0,0.0005,1.0128424309548878
33.0,0.0005,0.8196842528524853
34.0,0.0005,0.7601111900238764
35.0,0.0005,0.7008423038891384
36.0,0.0005,0.6560483149119786
37.0,0.0005,0.6228040967668805
38.0,0.0005,0.6074424258300236
39.0,0.0005,0.592920449518022
40.0,0.0005,0.5793437631357283
41.0,0.0005,0.5917237812564486
42.0,0.0005,0.5673340246790931
43.0,0.0005,0.5604143227849688
44.0,0.0005,0.5730035532088507
45.0,0.0005,0.5460516824608758
46.0,0.0005,0.5355550064927056
47.0,0.0005,0.5215806932676406
48.0,0.0005,0.5296984187194279
49.0,0.0005,0.5303748136474973
